drugname,count
Eptifibatide (Integrilin) 75 mg  100 ml  Premix (mcg/kg/min),32
D5 w KCL (ml/hr),1
Precedex (mcg/kg/min),27
KETAMINE (mg/kg/hr),9
integralin (ml/hr),4
NS + KCl 20mEq (ml/hr),52
NS for Blood Administration (ml/hr),728
Dexmedetomidine (mcg/kg/min),68
D5.45 NS  (ml/hr),29
Blood Products (ml/hr),119
Albumin 25%,1
NS + BICARB,3
KVO (ml/hr),838
Norepinephrine (ml/hr),272157
"bupiv .1%, fent 2mcg/ml, duramorph 40mcg/ml (ml/hr)",129
sodium bcarb (ml/hr),17
D5NS w/ 20KCL (ml/hr),2
cardizem (ml/hr),18
acetylcysteine  (ml/hr),1
Volume (mL) Immune Globulin (Human),2
D5LR w/10mEq KCl (ml/hr),4
d5 1/2ns (ml/hr),7
0.45% NaCl (ml/hr),135
D5 0.45%NS w/ 40mEq K (ml/hr),6
Potassium Phos (ml/hr),2
FIBERSOURCE HN (ml/hr),131
D5 LR w/ multivitamins (ml/hr),47
Epidural Fentanyl (ml/hr),5
Magnesium Sulfate (mg/hr),240
D5.45 NS/20meq KCL (ml/hr),33
RHI - Scale A (units/hr),42
ACTIVASE (mg/hr),42
D10 1/2NSS (ml/hr),26
D5W W/40K (ml/hr),23
Multi-Vitamin Bag (ml/hr),4
HYDROMORPHONE PCA (mg/hr),1
normal saline (ml/hr),806
NSS w bicarb,3
CARDENE (mg/hr),8
D5W + 20 K+ (ml/hr),5
Pentobarbital,3
Fent/Bupiv Epidural (ml/hr),9
fentanyl/bupivacaine (ml/hr),49
hydromorphorne (mg/hr),27
0.45% NACL (ml/hr),12
1.8 % NS (ml/hr),5
Phenylephrine  STD 20 mg Sodium Chloride 0.9% 500 ml (mcg/min),9
PRECEDEX (mcg/kg/hr),119
3 NACL (ml/hr),6
bicarb 2 amps (ml/hr),10
Platelets,1
Dilaudid (mg/hr),726
AMINOPHYLLIN (mg/kg/hr),2
insulin drip (units/hr),4
fentanyl (mcg/kg/min),42
D5HCO3,3
 argatroban,5
Nitroglycerin (mg/min),1
Tobramycin,1
Alteplase to sheath (ml/hr),9
Tacrolimus  (mg/hr),82
D5@ (ml/hr),1
null,1
D5/LR/Thiamine/Folic Acid (ml/hr),21
D5W 1/2 NS (ml/hr),16
Vecuronium (mg/kg/hr),1
Immune globulin (ml/hr),4
Platlets (ml/hr),1
D5LR with 10 meq K (ml/hr),53
Hydromorphone (mcg/hr) (mcg/hr),63
1/2 nss (ml/hr),261
Potassium Phosphate (ml/hr),6
3% hypertonic (ml/hr),292
Fentanyl (Unknown),131
vecuronium (mg/hr),84
D5W with 150 mEq Bicarb (ml/hr),3
iv with thiamine and folate (ml/hr),29
AMICAR,1
Dexmedetomidine (ml/hr),133340
D5 in 0.9NS (ml/hr),12
d51/2ns (ml/hr),138
D5W w/150MEQ NaHC03 (ml/hr),35
tranexamic acid,1
Magnesium (mg/hr),82
D5W/60 Kphos (ml/hr),1
D5+40KCL (ml/hr),39
POTASSIUM PHOSPATE (ml/hr),10
Sterile H2O with 3amp Bicarb (ml/hr),7
Cistracuronium (mcg/kg/min),12
Epinephrine (),1879
D5/NA bicarb (ml/hr),5
Ketamine500mg/250ccNS (mg/hr),48
HYDROmorphone (Dilaudid) 50 mg Sodium Chloride 0.9% 250 ml  Premix (mg/hr),488
tranexamic acid (mg/hr),43
Veletri (nanograms/kg/min),48
D5.45NSwith20KCl (ml/hr),5
SODIUM BICARB  (ml/hr),6
K phos,4
IVF c MVI (ml/hr),19
1/2 NS w/ 2 amp bicarb (ml/hr),117
integrelin (mcg/kg/min),18
D10 1/2 ns (ml/hr),38
D5. 0.45 NS with150 mEq NaHCO3 (ml/hr),5
FFP Unit 2 (ml/hr),2
bicarb drip (ml/hr),34
1/2NS c 40mEq KCl (ml/hr),1
1/2NS w/ 20meq KCL (ml/hr),58
0.45NSS+MVI (ml/hr),37
Insulin (Unknown),17
D5LR W/ 10KCL (ml/hr),3
D5LRMVI (ml/hr),38
Furosemide (ml/hr),24006
Albumin 25% (ml/hr),7
NS with Folic Acid & Thiamine (ml/hr),14
D5 0.45NSS w/KCl (ml/hr),18
Sodium bicarb (ml/hr),225
1/2NSS w/ 40 KCL (ml/hr),2
0.9% NSS w/20mEq KCl (ml/hr),23
IVM (ml/hr),2
norepinephrine Volume (ml),95
Amicar,1
D51/2NS20K (ml/hr),92
0.9%NS (ml/hr),1706
D5 w/ 150mEq Bicarb (ml/hr),19
mucomyst (mcg/kg/hr),3
epidural  (ml/hr),3
NS 40K,1
"EPIDURAL, FENT/BUPIV (ml/hr)",20
"Dextrose 5%/0.2% Sod Chl 1,000 ml (ml/hr)",9
Norepinephrine STD 8 mg Dextrose 5% 500 ml (mcg/min),14
Sterile Water w/150Meq NaBicarb. (ml/hr),9
Lidocaine (mg/min) (mg/min),49
IVF + MVI (ml/hr),21
NAC (mg/kg/hr),23
D5 with 150bicarb (ml/hr),2
ATB (ml/hr),13
1/2 NS W/ 20 KCL (ml/hr),31
manitol (ml/hr),2
d5/0.45% nacl/10K (ml/hr),56
D51/2NSS (ml/hr),76
solumedrol (mg/kg/hr),5
Nitroglycerin(50mg/500ml) 50 mg Dextrose 5% 500 ml  Premix (glass bottle) (mcg/min),16
morph (mg/hr),9
Sterile water c 500 meq bicarb (ml/hr),5
D5 1/2 + MVI (ml/hr),10
Dexmedetomidine Inj 400 Mcg in Dextrose 5% 100 ml (mcg/min),1
Volume (ml) Phenylephrine,44
0.45 Normal Saline (ml/hr),93
D5W.45NS (ml/hr),21
miv (ml/hr),466
D5.45%NS w/ 20 kcl (ml/hr),80
D5W w/ Bicardb (ml/hr),25
Bupivacaine (ml/hr),15
.9NS,1
3%NaCl (ml/hr),161
hydromorphone (mg/hr),636
Nimbex (mg/hr),658
D5 0.45 %NS (ml/hr),48
NS (EKOS #2) (ml/hr),23
D10/0.45%NS,1
d10/0.45 (ml/hr),10
NSS +abx (ml/hr),69
ns mf (ml/hr),26
1/2 NS W HCO3 (ml/hr),10
0.9% NaCl (ml/hr),1263
Agatroban (ml/hr),44
Bicarb (3-amps ) (ml/hr),3
20 K IN NS (ml/hr),9
Vasopressin 20 Units Sodium Chloride 0.9% 250 ml (units/hr),2
D10W @ 75 (ml/hr),41
Na Bicarb  (ml/hr),35
bicarb  (ml/hr),4
1L Sterile Water w/150mEq Bicarb (ml/hr),18
Amiodarone (load) 150 mg Dextrose 5% 100 ml (mg/min),70
D5.45NS with 20meg kcl/l (ml/hr),3
Tranexamic Acid (mg/hr),7
3% Normal Saline (ml/hr),52
D5 0.45%NS,10
D5 .45 % NS (ml/hr),14
Oxycotin (ml/hr),2
BLOOD PRODUCTS (ml/hr),66
Epinephrine (mg/hr),9
TubeFeed (ml/hr),78
NS fluid bolus (ml/hr),5
PCA (mg/hr),8
Nitroglycerin (mcg/kg/min),1009
d10w/ns (ml/hr),14
Levophed (mcg/kg/min),2
 bicarb 2amps (ml/hr),5
BLOOD products (ml/hr),6
Glucerna 1.5 TF (ml/hr),70
0.9% Saline (ml/hr),364
cryo (ml/hr),3
d5lr w/ kcl (ml/hr),13
Calcium Gluconate 1gm (ml/hr),5
D5.45 NS,3
IVF W/O Additives (ml/hr),2
DOPamine MAX 800 mg Dextrose 5% 250 ml  Premix (mcg/kg/min),151
Meropenem IV 2 gm in Sodium Chloride 0.9% 100 ml (ml/hr),1
NOVASOURCE RENAL (ml/hr),286
"Volume (mL)-sodium chloride 0.9 % bolus 1,000 mL (ml/hr)",693
D5 0.45 NS w/ 20 mEq KCL (ml/hr),9
0.9 NSS 9 (carrier) (ml/hr),9
D5.45NS,6
K+ PHOS (ml/hr),5
ZITHROMAX (ml/hr),12
D5 .45 w 40meq KCL (ml/hr),1
Potassium Lower Cocktail mL/hr (ml/hr),29
NOVASOURCE RENAL  (ml/hr),72
3%Na Cl (ml/hr),2
500 1/2 ns with 20kcl (ml/hr),6
1/2 NSS w/ 75mEq Sodium Bicarbonate  (ml/hr),1
0.45 NaCL (ml/hr),7
D5W 1/2NS w/ 20K (ml/hr),13
NS0.9%,1
D51/2NS  20KCL (ml/hr),1
0.22 NSS (ml/hr),39
Bicarb.   (ml/hr),7
D5-1/2NS (ml/hr),18
cooled NSS (ml/hr),3
aminophylline (ml/hr),2
acetylcystine (mcg/kg/hr),3
3% NS (ml/hr),1105
Mannitol IVF Infused (ml/hr),686
EPINEPHrine(Adrenalin)STD 4 mg Sodium Chloride 0.9% 250 ml (mcg/min),347
txa (mg/hr),32
Volume (mL) Argatroban,6
Water Flush (ml/hr),285
Ativan (mg/hr),48
D5 w/ 150meq Bicarb (ml/hr),46
D5.45 with K (ml/hr),1
D5W w/ 150mEq sodium bicarbonate  (ml/hr),2
Bicarb IV (ml/hr),2
Integralin (mcg/kg/min),16
0.45% NS + 100 MEQ SODIUM BICARB (ml/hr),8
3 % (ml/hr),6
D5W w/sodium bicarb (ml/hr),17
D5W w/ bicarb (ml/hr),16
0.2% NS,1
d5ns+2amps sodium bicarb (ml/hr),19
Levophed (mg/hr),25
Volume (mL)-sodium chloride 0.9 % bolus 200 mL (ml/hr),4
dilaudid (mg/hr),145
0.9% NS with 40 MEQ KCL (ml/hr),11
0.9% NS w/ 20kcl (ml/hr),17
D5 w/ 150mEq (ml/hr),16
D5W+150meqNaHCO3 (ml/hr),23
d5 1/2 (ml/hr),19
NS w/ 20meqKCL (ml/hr),5
Vecuronium Inj 40 mg in Sodium Chloride 0.9% 100 ml (mcg/kg/min),7
REOPRO (mcg/min),22
Other #3 mL/hr (ml/hr),7
Neosynephrine (ml/hr),1
d51/2 w/ 40kcl (ml/hr),46
D5 1/2NS w/ KCL (ml/hr),116
NSS,181
Rituxan (ml/hr),3
D5LR w/ 10 mEq KCL (ml/hr),32
Sterile WaterHCO3 150meq (ml/hr),10
d5W/ .9% NS (ml/hr),36
0.9% NS Sheath (ml/hr),7
0.9 NSS (ml/hr),3370
D15% (ml/hr),4
Amikacin Inj 700 mg in Sodium Chloride 0.9% 250 ml (ml/hr),2
Sodium Acetate (ml/hr),4
BLOOD Products (ml/hr),4
Heparin (),14512
3% Hypertonic NaCl (ml/hr),13
PCA-MS04 (ml/hr),3
D5 LR w/ 40 k,1
Lactated ringer (ml/hr),38
L/R (ml/hr),23
.45NS,1
Diluadid (mg/hr),1
Folic Acid/Thiamine (ml/hr),20
D5W with 40 mEq KCl (ml/hr),31
Dexmedetomidine Inj 400 Mcg in Sodium Chloride 0.9% 100 ml (ml/hr),13
D5 1/2 NS w/40MeQ KCL (ml/hr),15
D5 150meq bicarb (ml/hr),35
Narcan  (mg/hr),16
D5W/.45NS (ml/hr),7
D5,5
Eptifibatide (Unknown),4
0.45% NS w/ 40 Meq K (ml/hr),3
uivf (ml/hr),1
ANGIOMAX (mg/kg/hr),58
Nimbix (mcg/kg/min),52
Fentanyl (mcg/kg/min),4261
reglan (mcg/hr),17
H2O flush 25ml/h (ml/hr),8
Nitroglycerin (ml/hr),26094
NSS w/ Anbx (ml/hr),143
PPN  (ml/hr),20
Argatroban  (mg/hr),1
Tranexamic 1Gm/100 ml (mg/hr),8
Dextran 40 (ml/hr),1
normosol (ml/hr),131
D5 with 150meq bicarb (ml/hr),22
S-Heparin (units/hr),3
Eptifibatide (ml/hr),4566
Naloxone IVF Infused (ml/hr),477
0.9% NS (ml/hr),6233
Bicarb gtt 3 amps (ml/hr),12
Hypertonic Saline 3% (ml/hr),135
Epidural (ml/hr),381
vasopressin (ml/hr),1
D5 1/2NS+ 20mEq KCl (ml/hr),9
D5/0.9 (ml/hr),22
Cisatracurium (mg/kg/min),104
0.45 NSS (ml/hr),804
0.9% Normal Saline (ml/hr),375
MSO4-PCA (ml/hr),2
D10 40meq K (ml/hr),11
lr (ml/hr),135
Sterile H2O/HCO2/K (ml/hr),13
D5 0.45% NS,2
NS/2 amps bicarb MIV  (ml/hr),3
d5W/NaCO3 (ml/hr),33
NS+20KCL (ml/hr),38
MVI IVF (ml/hr),25
PRBC ,1
Tpa (ml/hr),81
Acetycysteine (mg/kg/hr),5
D5W/ 150mEq HCO3 (ml/hr),1
Dexmedetomidine (mcg/kg/hr) (mcg/kg/hr),2202
D5 .45 NS (ml/hr),43
.9 NS,1
1/2nss+sodium bicarb (ml/hr),15
NS with 20 meq KCL (ml/hr),17
D5 45NS,1
D51/2NS w/ KCL (ml/hr),22
Insulin B (units/hr),10
Potassium Chloride 20 Meq/50Ml 50 ml (ml/hr),2
D5W 150meq bicarb (ml/hr),23
1/2NS +  75 meq NaHCO3 (ml/hr),12
d5 1/2 + 20 KCl,2
Dobutamine (units/min),1
D5/W (ml/hr),206
Calcium Chloride mL/hr (ml/hr),882
SterileWater/150Bicarb (ml/hr),15
NS with antibiotics (ml/hr),3
Pantoprazole (Protonix) 80 mg Sodium Chloride 0.9% 250 ml (mg/hr),137
iced ns (ml/hr),1
argatroban (ml/hr),11
D5 1/2 20KCL (ml/hr),5
kvo (ml/hr),381
D5W/Bicarb (ml/hr),32
Sodium Chloride 0.9% 250 ml (ml/hr),1
TF (ml/hr),1373
NSS #1 (ml/hr),174
K Phos (ml/hr),17
Mannitol gtt(100gm/500mL) 100 g Dextrose 5% 500 ml (Unknown),27
aminophylline (mg/kg/hr),10
D5W/ 0.45% NS/ 40 MEQ K (ml/hr),4
Blood products (ml/hr),52
epidural :fentanyl/duramorph/bupivicaine (ml/hr),42
0.9%nacl  (ml/hr),7
Nitroprusside (ml/hr),9299
oxytocin,4
Abciximab (ml/hr),373
sandostatin (ml/hr),11
.45NSS (ml/hr),120
Epinephrine (mg/kg/min),341
neo-synephrine (mcg/min),81
NSS w/ levo/vaso (ml/hr),13
Normal saline  (ml/hr),22
Aletplase (),1
IVF w MVI (ml/hr),13
D5 NORMAL SALINE (ml/hr),9
0.9%NS c 20 KCL (ml/hr),6
d5w (ml/hr),82
D5 with 150 Na Bicarb (ml/hr),9
Blood (FFP) (ml/hr),4
D5 150meq of bicarb,1
.45 NSS (ml/hr),632
D5 !/2NS (ml/hr),1
keppra (ml/hr),2
ivf,3
HCO-3 (ml/hr),3
N/S (ml/hr),162
1/2 NS w/ 2 amps bicarb (ml/hr),24
NaCl 3% Hypertonic (ml/hr),16
D5LR  (ml/hr),18
MVI/BANANA BAG (ml/hr),20
D5.45 NS + 20 meq KCL,1
Insulin Scale B,2
dextrose 10% in water,2
D5W/NaHCO3 (ml/hr),14
0.9% nacl,4
0.45%NSS+40mEq potassium (ml/hr),36
0.9%NS Bolus (ml/hr),2
Volume (ml) Eptifibatide (),112
D10NS (ml/hr),13
D5 0.45 NS,10
D5 40K 1/2NS (ml/hr),4
0.45% Sodium Chloride,1
0.9 Normal Saline (ml/hr),51
Normal Saline 0.9% (ml/hr),518
Banna Bag (ml/hr),8
NSS + MVI  (ml/hr),2
Neosynephrine (mcg/min),205
Cistracurium (mg/hr),12
 NS 1000 ml + 2 amp bicarb (ml/hr),21
NIMEX (mg/hr),46
Magnesium sulfate (mg/hr),3
IVF without Additives (ml/hr),12
Esmolol,52
0.9% Sodium Chloride (ml/hr),46
Volume (mL) Immune Globulin (Human) (ml/hr),34
NSS w bicarb (ml/hr),1
 folate thiamine drip (ml/hr),4
Sodium Chloride 3% (ml/hr),53
Volume-Transfuse fresh frozen plasma (ml/hr),819
RALLY PACK (ml/hr),12
Argatroban IVF Infused (ml/hr),2410
Hydromorphone (mg/hr),575
D5W 150meq Bicarb (ml/hr),57
D5 & 150meq bicarb (ml/hr),58
D5W + 40 mEq KCL (ml/hr),12
ATRACURIUM (mg/kg/min),3
IVF None VasoActives (ml/hr),5
D5W/.45NS + 20 meq KCL (ml/hr),1
D5 w/ 150meq HCO3 (ml/hr),19
D5 1/2 NS w/20 meq of kcl (ml/hr),10
MVI bag (ml/hr),6
Amicar (ml/hr),853
"d50,45%NS (ml/hr)",30
BICARB 100mEq (ml/hr),1
D5 1/2nss,3
Vecuronium (mg/hr),86
nss/abx (ml/hr),35
Merren 500mg/100ml (ml/hr),9
D5W/40meqKCL (ml/hr),3
0.2 % NS (ml/hr),142
TPN w/insulin (ml/hr),80
rituximab (mg/hr),3
bicarb 3amp (ml/hr),10
NSS c Folic Acid/Vit B (ml/hr),11
D5LR W/10 KCL (ml/hr),51
NS ,2
Tranaxemic acid (mg/hr),7
LR with Kcl (ml/hr),2
IVF w/ 1 amp NaHCO3 (ml/hr),3
prbc's (ml/hr),3
Abciximab (),17
D5 1/2 w/ 20KCL (ml/hr),16
prbcs (ml/hr),2
Potassium Chloride 10Meq/100Ml 100 ml (ml/hr),4
Hetastarch (ml/hr),1
IVF NSS (ml/hr),39
NSc20mEq KCL (ml/hr),2
Theophylline IVF Infused (ml/hr),10
Vasopressin (mcg/min),13
EPIDURAL  (ml/hr),1
0.9 NACL (ml/hr),2
Bicarbonate 150mEq,3
KCL RIDER (ml/hr),217
Lac Ringers (ml/hr),21
D5/0.45 (ml/hr),74
"NSS + MVI, Thiamine, Folic Acid (ml/hr)",13
Vasopressin 40 Units Sodium Chloride 0.9% 100 ml (Unknown),4
NS +20KCL (ml/hr),382
Vasopressin,302
NSS 0.9%,6
d5 1/2 ns,2
BLOOD PROD (ml/hr),1
1/2NSS (ml/hr),183
D51/2NS (ml/hr),873
octreotide ,1
0.2% NS w/Na HCO3,1
D5 1/2NS 150meq bicarb (ml/hr),2
lactated ringers (ml/hr),117
D5/ 0.45 NS (ml/hr),44
D5.9NSS,3
Ativan (mg/hr) (mg/hr),10
Argatroban (mg/kg/min),9
D5 1/2NSS MVI (ml/hr),6
D5c  0.45NS (ml/hr),12
Amiodarone (mg/min) (mg/min),615
BICARB IN D5W (ml/hr),17
NS KVO (ml/hr),435
D5.45 Saline (ml/hr),11
D5 w/150meq bicarb (ml/hr),49
Phenylephrine (mg/kg/min),4
NS Fluid bolus (ml/hr),5
Tranexamic AC (ml/hr),10
Volume (mL)-sodium chloride 0.9 % bolus 125 mL (ml/hr),1
Nitroglycerin (mg/hr),1
NS/20meqKCL (ml/hr),63
0.45NSS w/ 75mEq NAHCO3 (ml/hr),29
Bolus Insulin (units/hr),6
NSS + abx (ml/hr),232
Midazolam (Versed) 100 mg Sodium Chloride 0.9% 350 ml (mg/hr),12
albumine (ml/hr),1
bivalirudin/ angiomax (mg/kg/hr),6
Fibersource TF,2
D5 LR (ml/hr),261
D5 1/2 NSS w/ 40 meq KCL,3
LACTATE RINGERS (ml/hr),7
rocuronium (mg/kg/min),7
D5 1/2 c 150 mEq Bicarb,4
0.9 NS  (ml/hr),1
albumin 25% (ml/hr),33
"D5.45 w/ MVI, Folate, Thiamine (ml/hr)",19
D50.45%NS (ml/hr),1
D5 w/Acetylcysteine (ml/hr),13
MIV w/40 KCL (ml/hr),2
Tube Feed (ml/hr),574
D5RL (ml/hr),29
1.8%NaCL (ml/hr),4
nimbex (ml/hr),5
Dilaudid PCA -Infusion (ml/hr),295
D5/0.45%NS + MVI (ml/hr),4
"Volume (ml) Heparin-heparin 25,000 units in 0.45 % sodium chloride 500 mL infusion",28
MAG DRIP (ml/hr),2
1/2NS,1
0.9%NSS  (ml/hr),225
NS 0.9% (ml/hr),176
Potassium Phosphate,1
0.45% ns 20 MEQL kcl (ml/hr),12
0.9NS  (ml/hr),49
NSS w/Abx (ml/hr),62
Dextrose 5% (ml/hr),1
D5 1/2 w/ 40 kcl (ml/hr),7
NSS carrier (ml/hr),53
Phenylephrine (mcg/kg/min),16711
D50  (ml/hr),19
Abx1 (ml/hr),1
Haldol (mg/hr),108
D5/0.45%NSS (ml/hr),18
mIV (ml/hr),4
Fent/Bup Epidural (ml/hr),3
Heparin,918
Iron Dextran (ml/hr),10
Mannitol gtt(100gm/500mL) 50 g Dextrose 5% 500 ml (Unknown),3
d5w/ 100meq hco3 (ml/hr),1
D51/2NSKCL (ml/hr),21
IVF with K (ml/hr),5
D10/0.45 NS (ml/hr),8
0.9% w/20 KCl (ml/hr),19
1/4NS (ml/hr),1
D5 1/2NS 20KCL,1
Precedex (ml/hr),15
D5NaBi-carb (ml/hr),19
Volume (mL)-dextrose 5 % and 0.45% NaCl 5-0.45 % bolus 250 mL (ml/hr),1
1/2 NS (ml/hr),1941
D5% w/ 150meq Na Bicarb (ml/hr),1
D5W per GTube (ml/hr),1
IV (ml/hr),1945
hespan (ml/hr),5
D51/2ns (ml/hr),79
Midazolam (),316
1/2 NS,3
Dexmedetomidine (mg/kg/min),9
NS with MVI (ml/hr),16
d10 0.9NSS w/ 20kcl (ml/hr),6
NS (ml/hr),82110
D5W/ 0.45% NS/ 20meqK (ml/hr),1
NS with 20KCL (ml/hr),15
NaHCO3 150mEq/1L 0.45%NaCl (ml/hr),46
D5LR with 10mEq potassium,1
N-Acetylcystine (mg/kg/hr),35
D5 1/2 NSS  (ml/hr),27
D5NSS w/ MVI/thiamine (ml/hr),14
MIv (ml/hr),35
Propofol (mcg/min),40
Corlopam (mcg/kg/min),9
NaCl 3% (ml/hr),28
NS - PCA,3
Acetylcysteine 3% (maint) 30000 mg Dextrose 5% 1000 ml (mg/kg/hr),8
NA bicarb (ml/hr),19
MAG RIDER (ml/hr),37
d5+NS (ml/hr),19
Volume-Transfuse Unmatched O-Neg RBC (ml/hr),11
NS + 20 KCL MEQ (ml/hr),88
H20 TF flush  (ml/hr),427
Nexium (mg/hr),17
Bivalirudin (Angiomax) 250 mg Sodium Chloride 0.9% 100 ml (mg/kg/hr),1
NSS control (ml/hr),145
N Acetylcysteine (mg/kg/hr),18
D5NS + 20 meq KCL (ml/hr),18
Abciximab (mg/kg/min),6
Altepase (ml/hr),27
Potassium (ml/hr),4
NSS carrier lasix (ml/hr),34
Glucerna 1.5 (ml/hr),380
0.9%NS with 20 MEQ KCL (ml/hr),9
1000cc D5W W/ 3 AMPS NAHCO3 (ml/hr),1
3% NaCL  (ml/hr),12
Alteplase (ml/hr),90
0.45NS,5
Sandostatin (mcg/hr),63
D5.45NSS w/ 40 meq KCL,1
D51/2NS150NaHCO3 (ml/hr),15
fresh frozen plasma (ml/hr),5
Bivalirudin (ml/hr),17
0.45% NS w/40 mEq K,3
NS PCA carry (ml/hr),46
bld (ml/hr),8
IVF,10
0.9 NaCl (ml/hr),85
D5 1/2 NS w/ 40K (ml/hr),7
NS with Mag and k Phos (ml/hr),2
FFP (ml/hr),347
octagam 5 %,1
PPN,2
NSS w/ MVI (ml/hr),81
0.9%NS w/ 20 kcl (ml/hr),62
0.45 % NS (ml/hr),3
D5W w/ 150meq NaHCO3,1
fentanyl/epidural (ml/hr),4
Amiodarone,739
D5W with 3amps Na bicarb (ml/hr),7
Naloxone (mcg/kg/hr),83
NS 20MEQ KCL (ml/hr),6
Na Bicarb 3 amps (ml/hr),10
D50.9%NS (ml/hr),40
naloxone (mcg/kg/hr),40
Eraxis (ml/hr),2
Fentanyl PCA,2
1/2 NS with 30 KCl (ml/hr),33
TPA flush (NSS) (ml/hr),3
D5 NS +20 K (ml/hr),12
D101/2NS (ml/hr),6
Esomeprazole (mcg/min),1
IVF Plain (ml/hr),17
3% (ml/hr),232
"Vancomycin Inj 1,250 mg in Dextrose 5% 250 ml (ml/hr)",3
Heparin (mcg/kg/min),5
D5/ 0.9%NSS (ml/hr),7
D5NS  (ml/hr),68
D5LRKCL (ml/hr),22
NS (coolant-Ekos) (ml/hr),28
mucomyst (ml/hr),12
PROPOFOL (mcg/kg/min),43
3 % NaCl (ml/hr),60
SODIUM BICARB DRIP (ml/hr),18
10% Dextrose (ml/hr),8
Acetylcysteine (units/kg/hr),3
.45  Normal Saline (ml/hr),5
0.5 NS,1
Sterile H2O w/ bicarb (ml/hr),14
"D5,0.45NSW/40meq KCL (ml/hr)",22
Banana Bag (ml/hr),399
D5 1/2NS 40mEq (ml/hr),15
calicum gluconate (ml/hr),21
Morphine PCA (ml/hr),8
Albuin 25%,1
Lactated ringers,1
d5LR 10K (ml/hr),67
FLOLAN (ml/hr),12
kcl 40 meq (ml/hr),2
Glucagon (mg/hr),54
D5/0.45NS w 20meq K (ml/hr),13
D5W/.9NSS (ml/hr),19
POTassium PHOSphate INJ 20 mm in Sodium Chloride 0.9% 250 ml (ml/hr),1
NS w/ 20meq KCL (ml/hr),33
D5LR w/40meq K (ml/hr),5
Acetylcstein (ml/hr),5
1/2 NSS  (ml/hr),11
D51/2 NS with 20 meq KCL (ml/hr),4
RL (ml/hr),139
NS w/MVI (ml/hr),6
Insulin Scale A,6
D5%/0.9%NS (ml/hr),47
3% NORMAL SALINE (ml/hr),178
Bolus insulin (units/hr),2
1/2 NS w/40 K (ml/hr),2
Potassium Chloride 20Meq/100Ml 100 ml (ml/hr),2
D5 1/2NS (ml/hr),867
Dopamine (mcg/min),3
morphine PCA (ml/hr),3
D5-1/2 NS w/40 KCL (ml/hr),37
LR with 10 K (ml/hr),2
ARGATROBAN (mcg/kg/min),636
NA Bicarb/ NSS (ml/hr),8
D5 1/2 NS 10 K (ml/hr),20
LR#1 (ml/hr),4
D5 1/2NSS w/40meq KCL (ml/hr),3
Esmolol (),649
Iv + MVI (ml/hr),2
PCA Dilaudid (ml/hr),64
Pitocin (units/hr),14
0.9NS w/Thiamine 100mg (ml/hr),10
D5 1/2NS w/40 mEq K (ml/hr),3
CISATRACURIUM  (mg/hr),160
D5\0.9 NSS (ml/hr),14
Tirofiban (ml/hr),227
AltePlase (mg/hr),6
vitamin bag (ml/hr),25
b carb (ml/hr),7
D5W w bicarb (ml/hr),82
OXYTOCIN (ml/hr),8
bicarb 2amps (ml/hr),18
Dexmedetomidine (mcg/hr),130
D10 NS,3
IV bolus (ml/hr),16
K+phos (ml/hr),5
Eptifibatide (mcg/kg/min),3387
PRBC  (ml/hr),16
NS with 20 meq kcl (ml/hr),13
.45% NSS (ml/hr),44
K-Rider 20 mEq (ml/hr),10
Mgnesium,1
Thiamine Inj 100 mg in Dextrose 5% 50 ml (ml/hr),2
Intralipid (ml/hr),7
Amiodarone (mg/min),70022
D5 w/3 amps Na Bicarb (ml/hr),4
Milrinone,195
Abx (ml/hr),27
Potassium Chloride Bolus 100 Each (ml/hr),3
D 5% (ml/hr),26
IVF's (ml/hr),175
PCA dilaudid,1
naloxzone (mcg/kg/hr),6
Water flush (ml/hr),527
DOPamine STD 400 mg Dextrose 5% 500 ml  Premix (mcg/kg/min),2
blood  (ml/hr),2
D5.45NSS (ml/hr),209
NSS carrier for Prima (ml/hr),29
0.9%NS (KVO) (ml/hr),13
Amphotericin B  (ml/hr),2
NSS 3% (ml/hr),182
hypertonic saline (ml/hr),110
0.9 NS,16
ABT (ml/hr),13
TPA Flush (ml/hr),6
IV Bicarb (ml/hr),3
Levophed (mcg/min),1123
Albumin 5% (ml/hr),86
0.45%NS w/ MVI (ml/hr),26
Lipids (ml/hr),1549
D5W/ 75 mEq HCO3 (ml/hr),19
Procainamide (mg/min),121
D5W+250meqNaHco3 (ml/hr),21
D5W/0.9% NS (ml/hr),3
NS control (ml/hr),14
0.9% NS BOLUS (ml/hr),27
Procainamide (mcg/kg/min),2
D5 -1/2NS (ml/hr),76
ALBUMIN 5% (ml/hr),119
D5 + 40K (ml/hr),6
LIPID (ml/hr),9
bicarb (units/hr),2
versed,1
Nimbex,10
d5w 1/2NS (ml/hr),6
Lidocaine (Xylocaine) STD 2 g Dextrose 5% 500 ml  Premix (mg/min),25
Propofol (mg/hr),32
Fenoldopam (mcg/kg/min),41
MS (mg/hr),2
0.45% NS w/ 75mEq NaHCO3 (ml/hr),20
Magnesium drip (mg/hr),11
Sterile Water w/ 3 AMPs BiCarb (ml/hr),24
Amiodarone (ml/hr),127056
D5W NS (ml/hr),5
NS Bicarb 150meq,4
 NaHCO3 (ml/hr),3
LR ,1
D5NS 40 KCL (ml/hr),6
blood product (ml/hr),6
